PS Name,PS Name_enc
Ernakulam Central ,7.642857142857143
Ernakulam Town South ,3.1818181818181817
Hill Palace (Thrippunnithura),8.909090909090908
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Mattancherry ,3.0
Mulavukadu ,2.5
Palarivattom ,6.25
Thoppumpady ,2.909090909090909
Thrikkakara,5.923076923076923
Udayamperoor,7.75
Ambalamedu,1.625
Cheranelloor ,4.75
Ernakulam Central ,7.642857142857143
Fort Kochi  ,2.875
Harbour,2.272727272727273
Hill Palace (Thrippunnithura),8.909090909090908
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Maradu,5.5
Mulavukadu ,2.5
Palarivattom ,6.25
Palluruthy Kasaba,6.636363636363637
Panangad ,5.6
Thoppumpady ,2.909090909090909
Thrikkakara,5.923076923076923
Ambalamedu,1.625
Cheranelloor ,4.75
Elamakkara,4.2
Eloor ,2.2
Ernakulam Central ,7.642857142857143
Ernakulam Town North ,7.857142857142857
Ernakulam Town South ,3.1818181818181817
Harbour,2.272727272727273
Hill Palace (Thrippunnithura),8.909090909090908
Infopark,4.2
Kadavanthra ,3.1666666666666665
Kalamassery,7.153846153846154
Kannamali ,3.1666666666666665
Maradu,5.5
Mattancherry ,3.0
Mulavukadu ,2.5
Palarivattom ,6.25
Palluruthy Kasaba,6.636363636363637
Panangad ,5.6
Thoppumpady ,2.909090909090909
Thrikkakara,5.923076923076923
Udayamperoor,7.75
Muvattupuzha,11.071428571428571
Aluva,7.416666666666667
Chottanikkara,2.5555555555555554
North Parur ,8.23076923076923
Oonnukal,2.4545454545454546
Perumbavoor,7.384615384615385
Aluva,7.416666666666667
Aluva West,5.75
Angamaly,9.357142857142858
Binanipuram,2.0
Chengamanadu,3.9
Chottanikkara,2.5555555555555554
Edathala,2.4444444444444446
Kalady,6.461538461538462
Kodanadu,4.2727272727272725
Koothattukulam,3.888888888888889
Kothamangalam,9.615384615384615
Kunnathunadu,5.555555555555555
Kuruppumpady,5.416666666666667
Mulamthuruthy,4.909090909090909
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
Njarakkal,7.0
North Parur ,8.23076923076923
Oonnukal,2.4545454545454546
Perumbavoor,7.384615384615385
Piravom,3.3
Pothanikkadu,3.75
Puthencruz,5.615384615384615
Puthenvelikkara,2.4285714285714284
Ramamangalam,2.875
Thadiyittaparambu,2.4
Vadakkekara,6.4
Varapuzha,2.6
Vazhakulam,6.2
Aluva,7.416666666666667
Aluva West,5.75
Angamaly,9.357142857142858
Ayyampuzha,1.0
Binanipuram,2.0
Chengamanadu,3.9
Edathala,2.4444444444444446
Kalady,6.461538461538462
Kalloorkadu,1.75
Kodanadu,4.2727272727272725
Koothattukulam,3.888888888888889
Kothamangalam,9.615384615384615
Kottapady,1.4
Kunnathunadu,5.555555555555555
Kuruppumpady,5.416666666666667
Kuttampuzha,1.0
Mulamthuruthy,4.909090909090909
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
Njarakkal,7.0
North Parur ,8.23076923076923
Oonnukal,2.4545454545454546
Perumbavoor,7.384615384615385
Piravom,3.3
Pothanikkadu,3.75
Puthencruz,5.615384615384615
Puthenvelikkara,2.4285714285714284
Ramamangalam,2.875
Thadiyittaparambu,2.4
Vadakkekara,6.4
Varapuzha,2.6
Vazhakulam,6.2
Aluva,7.416666666666667
Aluva West,5.75
Angamaly,9.357142857142858
Binanipuram,2.0
Chengamanadu,3.9
Edathala,2.4444444444444446
Kalady,6.461538461538462
Kodanadu,4.2727272727272725
Koothattukulam,3.888888888888889
Kothamangalam,9.615384615384615
Kottapady,1.4
Kunnathunadu,5.555555555555555
Kuruppumpady,5.416666666666667
Kuttampuzha,1.0
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
Njarakkal,7.0
North Parur ,8.23076923076923
Oonnukal,2.4545454545454546
Perumbavoor,7.384615384615385
Piravom,3.3
Pothanikkadu,3.75
Puthencruz,5.615384615384615
Ramamangalam,2.875
Vadakkekara,6.4
Varapuzha,2.6
Vazhakulam,6.2
Aluva,7.416666666666667
Aluva West,5.75
Angamaly,9.357142857142858
Ayyampuzha,1.0
Binanipuram,2.0
Chengamanadu,3.9
Edathala,2.4444444444444446
Kalady,6.461538461538462
Kalloorkadu,1.75
Kodanadu,4.2727272727272725
Koothattukulam,3.888888888888889
Kothamangalam,9.615384615384615
Kunnathunadu,5.555555555555555
Kuruppumpady,5.416666666666667
Kuttampuzha,1.0
Mulamthuruthy,4.909090909090909
Munambam,5.090909090909091
Muvattupuzha,11.071428571428571
Nedumbassery,5.666666666666667
Njarakkal,7.0
North Parur ,8.23076923076923
Oonnukal,2.4545454545454546
Perumbavoor,7.384615384615385
Piravom,3.3
Pothanikkadu,3.75
Puthencruz,5.615384615384615
Ramamangalam,2.875
Vadakkekara,6.4
Varapuzha,2.6
